bookname,isbn,binding,publicationdate,publisher,language,price,photo,DisplayContent,page,author
 The Chalk Garden ,9780573606892,Trade Paperback,12/15/2010,"Samuel French, Inc.",English,"

$14.60",https://covers.powells.com/9780573606892.jpg,"Synopses & ReviewsPublisher CommentsFull Length, DramaCharacters: 2 male, 7 female Interior SetRevived to acclaim on the West End in 2008, this psychological chamber piece explores the secret world of childhood through the prism of a dyed-in-the-wool British dowager Mrs. St. Maugham and her precocious and equally eccentric granddaughter Laurel. When enigmatic Miss Madrigal is hired as household companion and manager, the two finally meet their match. A tantalizing, fascinating and stimulating piece of theatre.- New York Daily News A very fresh and personal kind of play with wit, literacy, and an almost unearthly integrity. -New York Herald Tribune",112,Enid Bagnold
 The Hound of the Baskervilles ,9780573610417,Trade Paperback,03/15/2011,"Samuel French, Inc.",English,"

$14.60",https://powells-covers-2.s3.amazonaws.com/9780573610417.jpg,"Synopses & ReviewsPublisher CommentsMystery Tim KellyCharacters: 5 male, 5 femaleInterior Set Holmes' most spine chilling mystery is placed in a modern setting in this version with suspense, humor and terror. Sir Henry is heir to the vast Baskerville fortune, a legacy that comes with a family curse death at the fangs of a horror that prowls the moor. Only Holmes can stop the beast. While mysterious lights signal Baskerville Hall and the hound terrifies the countryside, the sleuthing begins and suspicion falls on sinister servants, butterfly collectors, ladies in distress and escaped convicts. Who wrote the letter that summoned the hound? Is Sir Henry's romance with the lovely Kathy doomed? Is the supernatural at work? Professional, witty, suspenseful.... Conan Doyle would be pleased. Holmes ian Tattler. Magnificent job of bringing the novel's characters to life.... Great family entertainment. Desert Sun.",74,Arthur Conan Doyle
 Civilisation ,9780601080106,Trade Paperback,no publication date,HARPER & ROW,no language,"

$9.95",/Portals/0/Images/NoImageAvailable.gif,,no page,Kenneth Clark
 Eagles & Other Hunters of the Sky ,9780603002663,Hardcover,no publication date,Dean & Son Ltd.,no language,"

$5.95",/Portals/0/Images/NoImageAvailable.gif,,no page,Terry Riley
 Stories Of Winnie The Pooh ,9780603550607,Hardcover,no publication date,METHUEN CHILDRENS (ENGLAND),no language,"

$14.50",https://covers.powells.com/9780603550607.jpg,"Synopses & ReviewsPublisher CommentsLearning Joy from Dogs Without Collars is about my memories of growing up, being raised by an eccentric and uniquely idealistic single mother. It is about how I was sometimes homeless and lived in shelters and in one apartment after another. It is about adventures my mother and I had, including moving across the country -- from Astoria, Oregon, a small coastal town, to Boston, Massachusetts, a bigger city on a different coast. It is about how I -- by accident, it seemed -- found myself to be the only girl on a high school wrestling team, how that worked out, and what I learned.  The book is also about how I later went to Harvard, a world completely unlike the ones I grew up in; how I adapted to life there. It is about how I met my father when I was nineteen, and how my father finally became my dad.  It is about all of these things, and everything in between. It is the story of a girl coming into her own, learning and understanding her place in the world. It is about the innocence and resiliency of childhood -- the space of happiness and joy which poverty was unable to demolish or diminish.",no page,A A Milne
 Amelia Jane Again ,9780603570278,Trade Paperback,no publication date,EGMONT,no language,"

$5.95",/Portals/0/Images/NoImageAvailable.gif,,no page,Enid Blyton
 From War to Peace: A Plea for a Definite Policy of Reconstruction ,9780559200519,Trade Paperback,10/09/2008,BiblioLife,English,"

$27.75",https://covers.powells.com/9780559200519.jpg,Synopses & ReviewsPublisher CommentsThis is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,292,Herbert Quick
 Historia Interpretationem Secundum D. A. Augustinum in Libro de Civitate Dei ,9780559201424,Trade Paperback,10/09/2008,BiblioLife,English,"

$19.75",https://covers.powells.com/9780559201424.jpg,Synopses & ReviewsPublisher CommentsThis is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,132,Amand Biechy
 The Judgment of the Court of Arches and of the Judicial Committee of the Privy Council ,9780559202339,Trade Paperback,10/09/2008,BiblioLife,English,"

$19.75",https://covers.powells.com/9780559202339.jpg,Synopses & ReviewsPublisher CommentsThis is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,136,Benjamin Wills Newton
 Letters of John Quincy Adams to His Son on the Bible and Its Teaching ,9780559205460,Trade Paperback,10/04/2008,BiblioLife,English,"

$21.50",https://covers.powells.com/9780559205460.jpg,Synopses & ReviewsPublisher CommentsThis is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,132,John Quincy Adams
 The Chords of Life: Poems ,9780559206320,Trade Paperback,10/09/2008,BiblioLife,English,"

$21.75",https://covers.powells.com/9780559206320.jpg,Synopses & ReviewsPublisher CommentsThis is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,176,Charles Henry Crandall
